	P	R	F1	model	type
0	92.0	91.9	92.0	CQE-Numparser	value
1	85.6	85.5	85.6	CQE-Numparser	value+unit
2	88.2	88.1	88.1	CQE-Numparser	value+change
3	76.2	76.1	76.1	CQE-Numparser	value+concept_partial
4	57.0	57.0	57.0	CQE-Numparser	value+concept_compelete
5	65.0	83.3	73.0	quantulum3	value
6	42.1	53.9	47.2	quantulum3	value+unit
7	59.7	82.2	69.1	text-recognizer	value
8	29.6	40.7	34.2	text-recognizer	value+unit
9	50.6	66.0	57.3	ccg_nlp	value
10	32.8	42.8	37.1	ccg_nlp	value+unit
11	44.2	57.6	50.0	ccg_nlp	value+change
12	72.1	69.1	70.6	GPT3	value
13	60.3	57.9	59.1	GPT3	value+unit
14	53.1	50.9	51.9	GPT3	value+change
15	55.9	53.7	54.8	GPT3	value+concept_partial
16	26.3	25.2	25.7	GPT3	value+concept_compelete
